"","x"
"1",19.2215707050373
"2",18.8394516096471
"3",13.9620593838995
"4",16.5922884698151
"5",19.5241197170416
"6",19.8828979586146
"7",18.7463973984782
"8",19.0888983575942
"9",17.6527651541591
"10",12.5837736283467
"11",14.6638859050029
"12",18.6297644359448
"13",16.8963554345502
"14",15.031306239288
"15",17.1745112966573
"16",19.2482306605665
"17",11.758535398282
"18",14.2356259778625
"19",18.4315056553532
"20",18.4001928053235
"21",18.3681913510935
"22",17.642884698863
"23",19.5715605646111
"24",13.1605561031848
"25",16.5539287969897
"26",19.0895999211742
"27",18.3324207120551
"28",19.3837153000523
"29",19.3443524801446
"30",20.8499255171398
"31",12.4875681101578
"32",12.7064069565572
"33",20.3221824701682
"34",19.5117718550085
"35",20.6262318902915
"36",20.1875597783679
"37",20.1417874575123
"38",11.8310509866636
"39",13.7726462189661
"40",16.1843291566947
"41",14.9492351304476
"42",15.4990287152693
"43",17.0241766400388
"44",20.1960329219995
"45",12.5663388957404
"46",14.6263952684254
"47",19.2895736441574
"48",20.7817030796569
"49",20.7293253284717
"50",18.0696443509828
"51",16.0571858959157
"52",10.382110345157
"53",13.0501015742898
"54",15.0390833743304
"55",14.9999583346734
"56",14.1211033021681
"57",14.3578778892167
"58",15.1716086812604
"59",9.80879050043777
"60",11.1970782695533
"61",14.4829095648743
"62",13.6337145374617
"63",15.8617305327413
"64",17.7566700291325
"65",17.0402693101028
"66",11.6716150263697
"67",12.1003728498308
"68",13.6775160380863
"69",13.1256280735455
"70",13.6044388436518
"71",14.6543157451259
"72",15.7852522102474
"73",10.6058809359612
"74",12.5820774429764
"75",16.2742544286946
"76",14.4602758011229
"77",13.6125770482207
"78",13.0637877810799
"79",13.2827156906322
"80",9.09837071366963
"81",10.188397619169
"82",13.4351037784046
"83",16.5613054079532
"84",14.4357861552463
"85",13.8548246853295
"86",12.7951062756748
"87",8.43400094178239
"88",10.2014586379388
"89",11.985824258993
"90",11.9559804909711
"91",13.1316488831188
"92",13.0994227640028
"93",12.5738915782814
"94",9.48518210720015
"95",10.2225474027386
"96",13.2261085699825
"97",13.1950162114575
"98",13.4202190542516
"99",13.9149436001937
"100",12.6090154798516
"101",7.99964491071554
"102",9.49435992483762
"103",11.375384084131
"104",10.7136023888875
"105",10.2867731832596
"106",10.4645601517463
"107",10.8526962277101
"108",9.1926577135243
"109",11.5613989968981
"110",13.5906464651687
"111",12.5586008764593
"112",12.0609287561765
"113",12.0381272450182
"114",12.9777612386248
"115",8.72698332677316
"116",10.16462419324
"117",11.2808829310971
"118",11.9312758273609
"119",11.9113838378205
"120",12.8440569495815
"121",11.8731297056993
"122",7.83405057831816
"123",10.0494593637727
"124",11.5941534367525
"125",11.8026777883325
"126",11.3410581330994
"127",11.3257539863881
"128",11.3109062054662
"129",7.90902709428901
"130",9.7650349233322
"131",11.0541520488207
"132",10.4216335534832
"133",10.4099274875159
"134",11.0169408706498
"135",11.0053697947862
"136",7.84701600575833
"137",9.32487663138333
"138",10.7638366889482
"139",10.3478210140452
"140",12.2949270430828
"141",10.9443654123534
"142",12.2747320362951
"143",8.26289742594233
"144",9.63416545513974
"145",10.102597772214
