"","x"
"1",9.39280042598661
"2",12.6999734801201
"3",13.4978651804267
"4",13.8038749624807
"5",14.6709330801865
"6",13.6263208169981
"7",8.69186981570523
"8",10.3714266373833
"9",12.492630569244
"10",12.0582531033857
"11",13.3181444823384
"12",15.287010093349
"13",15.0418904518724
"14",9.78072558822362
"15",12.849210099048
"16",15.4760976908353
"17",15.227272721407
"18",14.4163018276903
"19",15.0275884329113
"20",14.503464781719
"21",9.80002532605557
"22",11.9191986347118
"23",15.8052632325167
"24",15.2531576484826
"25",14.7201149423873
"26",14.7631668091228
"27",15.0939434417846
"28",10.0034599099311
"29",13.1392324126075
"30",16.7630204516054
"31",15.8671308613362
"32",14.7324436793787
"33",14.4920076109826
"34",14.8148642283309
"35",11.6747136884038
"36",14.4718405018177
"37",15.2275375907775
"38",15.5655220239665
"39",15.309633160497
"40",15.6487654726703
"41",16.3060046111748
"42",11.4461737498298
"43",13.6504834561527
"44",16.119716004193
"45",17.1216718485647
"46",17.1648041103566
"47",17.8831647867902
"48",17.2500988122999
"49",12.5821163483616
"50",15.8946583526908
"51",19.5032577520407
"52",19.5493376598749
"53",18.8547724863023
"54",19.2656581420655
"55",18.5801212690853
"56",12.0713488853743
"57",14.3907213539916
"58",17.654356851744
"59",17.3550936599142
"60",19.1495968031162
"61",20.3308294836698
"62",19.9843257428973
"63",13.4904649622194
"64",14.8871476984592
"65",19.7211346553563
"66",21.3411822886928
"67",20.181689641882
"68",20.6124185727152
"69",21.8780651890966
"70",13.9366281935834
"71",16.2900818697437
"72",20.3634940161262
"73",21.1986377810376
"74",20.8286929100332
"75",21.6812969259312
"76",21.7154252452802
"77",15.2269706538954
"78",18.8516949284127
"79",22.2371143970141
"80",21.4274199919653
"81",21.0477501124258
"82",20.6739659747949
"83",19.5389123803817
"84",12.4398183486903
"85",16.629320172466
"86",21.591685552717
"87",20.7994340070366
"88",20.8219450328625
"89",21.2487731676636
"90",20.4664116802955
"91",14.3427546146238
"92",17.7464881816863
"93",20.9209157960158
"94",20.5386309561716
"95",21.7765664023139
"96",23.5368724076678
"97",23.5526732799865
"98",15.2771508494732
"99",17.495734415335
"100",24.5195685459544
"101",23.604585929607
"102",23.6146803737404
"103",23.6235975299426
"104",25.0364974548706
"105",15.620730848791
"106",17.2074080245312
"107",19.5057489652086
"108",16.5685267298445
"109",17.5549288115611
"110",17.8964778763049
"111",18.5983612039633
"112",12.5282343794298
"113",14.9001313405703
"114",17.8879376070406
"115",19.3150729997019
"116",20.0671018495172
"117",21.2525221800367
"118",22.0775047923227
"119",14.3044991124132
"120",17.0060225695414
"121",21.2092442281223
"122",20.394716195356
"123",20.7764020732043
"124",19.2215707050373
"125",18.8394516096471
"126",13.9620593838995
"127",16.5922884698151
"128",19.5241197170416
"129",19.8828979586146
"130",18.7463973984782
"131",19.0888983575942
"132",17.6527651541591
"133",12.5837736283467
"134",14.6638859050029
"135",18.6297644359448
"136",16.8963554345502
"137",15.031306239288
"138",17.1745112966573
"139",19.2482306605665
"140",11.758535398282
"141",14.2356259778625
"142",18.4315056553532
"143",18.4001928053235
"144",18.3681913510935
"145",17.642884698863
"146",19.5715605646111
"147",13.1605561031848
"148",16.5539287969897
"149",19.0895999211742
"150",18.3324207120551
"151",19.3837153000523
"152",19.3443524801446
"153",20.8499255171398
"154",12.4875681101578
"155",12.7064069565572
"156",20.3221824701682
"157",19.5117718550085
"158",20.6262318902915
"159",20.1875597783679
"160",20.1417874575123
"161",11.8310509866636
"162",13.7726462189661
"163",16.1843291566947
"164",14.9492351304476
"165",15.4990287152693
"166",17.0241766400388
"167",20.1960329219995
"168",12.5663388957404
"169",14.6263952684254
"170",19.2895736441574
"171",20.7817030796569
"172",20.7293253284717
"173",18.0696443509828
"174",16.0571858959157
"175",10.382110345157
"176",13.0501015742898
"177",15.0390833743304
"178",14.9999583346734
"179",14.1211033021681
"180",14.3578778892167
"181",15.1716086812604
"182",9.80879050043777
"183",11.1970782695533
"184",14.4829095648743
"185",13.6337145374617
"186",15.8617305327413
"187",17.7566700291325
"188",17.0402693101028
"189",11.6716150263697
"190",12.1003728498308
"191",13.6775160380863
"192",13.1256280735455
"193",13.6044388436518
"194",14.6543157451259
"195",15.7852522102474
"196",10.6058809359612
"197",12.5820774429764
"198",16.2742544286946
"199",14.4602758011229
"200",13.6125770482207
"201",13.0637877810799
"202",13.2827156906322
"203",9.09837071366963
"204",10.188397619169
"205",13.4351037784046
"206",16.5613054079532
"207",14.4357861552463
"208",13.8548246853295
